,Tweet,Class
0,ایٹم بم بنایا ھے بھائی ایٹم بمب کوٹ لکھپت اتفاق فیکٹری بنتاایٹم بم کہوٹہ ایٹمی,2
1,چندے انقلاب عمران خان وزیر اعظم بن سکتے,0
2,ٹویٹر خیال,1
3,سرچ انجن گوگل نائب صدر فضا فٹ بلندی چھلانگ عالمی ریکارڈ قائم کرلیا چھلانگ,2
4,اسکی لہریں یار أ,2
5,گندی زبان گٹر دماغ جاہل جیالے جیالا جاہل ممکن,0
6,قاتل مقتول تمظالم مظلوم,0
7,نور بغداد گلیوں کرن مدینہ چلی,2
8,لفظوں شرارت ھے سنبہل بہی لکہنا محبت لفظ ھے اکثر بہی ھے,2
9,سمارٹ فون عادیوں ڈجٹل ڈیٹاکس کیپ متعارف,2
10,وزیر اعظم زیر صدارت پارلیمانی رہنماؤں اجلاس,2
11,سوچا شہباز شریف کام جہاں چھوڑا چودھری پرویز الہی چودھری پنجاب تباہ شہباز ترقیاتی کام پنجاب سنوار,2
12,تیز بارش گھنا پیڑ اک لڑکی ہوایسے منظر شہروں پائے,2
13,لاہور دھرنوں باعث سیاسی عدم استحکام معاملہ سنبھل میاں مجتبی,2
14,مؤرخ لکھے گاکہ مملکت خداد کڑا وقت ڈی جے پالنے کیلیے لیڈر چندہ مانگناپڑ گیاچندے انقلاب,0
16,اک کھیل مقدر بدل ہمیں پکار چھپا زوبی,2
17,ابن ڈیزل ہواکرے درد دوا,0
18,پی ٹی استعفے واپس لینے اعلان,2
19,پنجرے چھ طوطے طوطی چھیڑ رھے جبکہ دوسرے پنجرے,0
20,باجوڑ ایجنسی پولیو ٹیم حملہ لیوی اہلکار زخمی,0
21,سہیل بخاری کہنا تعزیتی ریفرنس یاسین ملک قریبی دوستوں شرکت افسوس,0
22,®انقلابدھرناڈیلماڈل ٹاؤن جاں بحق کوخون بہادینے علاوہ قادری کوعلیحدہ ستر کروڑدینے کابھی یقین دلایاگیارپورٹ,0
23,شرابی وقت شراب دور تھاایک مرتبہ دوست احباب جمع شراب تیار غلام,0
24,خیبر پختونخوا کام ھوا ھوتا عمران دھرنوں جواز بن,2
25,انشا ءاللہ بابے دا ڈیرہ ریخی قافلہ گجرات جلسہ شر کت ے ملک چاند محبوب,2
26,ا عمران خان دنوں شیدے دور بھگا چاہیے اسکے بیٹے پاکستان چھڑے چھانٹ اخلاقی گراوٹ شکار,0
27,فتح حق اورسچ ہوئیالطاف حسین کورابطہ کمیٹی مبارکباد,2
28,انقلاب ایجنڈا بدلا بدلے کیئرٹیکر حکومت قومی حکومت بن سکتی مک مکا حکومت چاھتے طاہر القادری,2
29,تحریک انصاف ضمنی انتخابات حصہ گیترجمان شیریں مزاری جی ہان قبضہ مافیا لوٹوں حمایت ضرور,0
30,مسلمانوں نیا اسلامی سال مبارک,2
31,برائی پہچانتا قریب ھے واقع ھو سیدنا عمر فاروق,0
32,ھو سکے تنہائیوں پڑھ لینا دل کتاب ھوں,2
33,اصلی طالبان لشکر جھنگوی اصلی خالص,2
34,وینا ملک بیٹا سوشل میڈیا مقبولیت شلپا شیٹھی بیٹے کراچی وینا ملک بیٹے ابرام خان,2
35,RT حکومتوں الگ فیصلہ حتمی رہنما ایم کیوایم فاروق ستار,0
36,اللہ نبی ﷺ شہادت خوشخبری دیدی,2
37,اسلام آباد چیرمین تحریک انصاف عمران خان کہنا محرم الحرام باوجود اسلام آباد,2
38,ڈیزل خان تمبو اکیلا پیشن گوئی ناکام ڈیزل خان,2
39,اک نئی طرز کردار گااس کہانی مار,0
40,قسم گندے الفاظ فضلو دھرنے خواتین بارے استعمال سیاسی مزھبی جماعتوں انکا بائکاٹ چاہئے,0
41,عالمی استعمار امریکا اسرائیل اورانکے نمک خوار سعودی عرب سینےمیں خنجر مانند ماہ محرم صفراور ربیع الاول,0
42,حق پرست رکن سندھ اسمبلی سمیتا افضال علالت جناب اظہار تشویش,0
43,ایم کیوایم ڈسٹرکٹ ملتان صدر ذیشان دلاور قریشی والدہ محترمہ انتقال رابطہ کمیٹی کااظہار تعزیت via,0
44,اتنا کام پڑا کھیل اردو بورڈ,2
45,محسن طلوع ماہ محرم ساتھ ہیہر دل مثال شہر خموشاں اداس,0
46,جنوبی پنجاب سارا پیسہ لاہور پہ لگتاہے پٹواری نئیں کہتا واقعی حق گجرات یونیورسٹی دکھ,2
47,ایم کیوایم قائد الطاف حسین تصنیف فلسفہ محبت انگریزی ترجمہ تقریب اجراء 24اکتوبر جمعہ شام میریٹ ہوٹل منعقد ہوگی,2
48,کھیل نماز الگ الگ ھیں اپ زرا پڑھا مینڈک اچھے نھیں ھوتے,2
49,دبئی پہلا ٹیسٹ آسٹریلیا خلاف پاکستان دوسری وکٹ گرگئی,0
50,سردار بنے علم حاصل کہیں سرداری غرور طلب علم روک جاہل بن زندگی گذارو سیدنا عمر فاروق,2
51,دس نارمل فیصل عابدییے رحلت فرماویں جعفر پیدا,0
52,ایم کیوایم آزاد کشمیر حکومت علیحدگی اعلان اسکے ساتھ حکومت اندر باہر عالمی ریکارڈ بنا سیاسی لطیفے,0
53,مشرق وسطی امریکا پالیسیوں نتائج بھگت,0
54,اوہ معذرت دھیانی کئی مہینوں فون سننا پڑ دماغ بند ہوگیا عادت فون بات پ,0
55,برطانوی فوج افغانستان آخری اڈاہ خالی کردیا,2
56,ڈات کہڑا آب عمر انٹہیک کپتان نیاء بنے پاکستان نیاء بنے پاکستان انشاء آللہ,2
57,دیکھے صلیبوں صورتیں پیمبروں دنیا بادشاہوں عادتیں گداگروں,2
58,اڑی اڑی رنگت کھلے کھلے گیسو صبح رات فسانہ,2
59,چیز ﷲ بندوں مانگنا چاہیے,2
60,کب ایساوہ صحیح غلط لڑائی,2
61,مار ک چھوڑ بول ساتھ سلوک,0
62,شہباز شریف جھنگ سیلاب زدگان چیک دئے کل باونس,2
63,سر جی بنتی یے چاٹی لسی بنوائی کھٹی کھٹی,2
64,پہلا ٹیسٹ آسٹریلیا کیخلاف پاکستان بیٹنگ جاری,2
65,احساس پیدا,2
66,حضرت مولانا محمود اشرف عثمانی صاحب مدظلہ حاجیوں کیلئے چند ھدایات,2
67,انصافی ٹائگر عمران خان معذور افراد ساتھ گزرے قیمتی,2
68,غم لاکھوں دکانداروں اک تبسم فروش بہتر,2
69,مشرف دوست شیرافگن فضل الرحمن کواس شرط اپوزیشن لیڈر بنایا مشرف پالیسیوں حمایت ڈیزل اصلیت,2
70,باہیک مری روڈ راولپنڈی ھوں میٹرو کام وجہ مری روڈ گرد غبار ھے ٹریفک جام معمول ھے,0
71,بلدیاتی انتخابات التوا ذمہ دار الیکشن کمیشن عمران خان,0
72,امریکا یورپی پارلیمنٹ بل قادری لاہورحکومت عوام,2
73,پشاور حزب اختلاف جانب محمد علی شاہ نام,2
74,ٹی وی فوٹو کھینچ گوگل کرکے تصویر,2
75,مبارک ہمیں پہ فخر اللہ آپکو مزید کامیابیاں عطا فرمائے آمین,2
76,حقے انگلش ساتھ بتائیے گٹکے انگلش کہتے,0
77,خدانخواستہ عمران خان گھر گھس تصویر,0
78,بھائ جھک مارو حق بس تمیز زندگی گزارو,2
79,ھائے چیز ھے محبت,2
80,ایرانی دہشتگرد امین شہیدی اگست اسلام آباد مولانا فضل الرحمن انتقام اعلان تھاوہی بس اللہ مولانا بچا,2
81,حدیثا اللہ کاذکر ایمان کاجھنڈا شیطان حفاظت قلعہ بھڑکتی آگ نارجہنم نجات کاذریعہ ھے گلدستہء فقر صفحہ118,2
82,ایکس نیوز۰ محرم الحرامایکس نیوز جانب مسلمانوں,2
83,اردو ٹرینڈ بہتر کپتان ڈیزل,2
84,بنوں مکانات کرائے بڑھ متاثرین بکاخیل کیمپ مجبور,0
85,واہ بات,2
86,شیخ شرم جسے چپڑاسی رکھوسچ چپڑاسی پارٹنر بنائے,0
87,حلقہ خواتین تحت ملک بھر اجتماع عام سلسلے بریفنگ ملاقاتوں سلسلہ جاری,2
88,چاھتا یھی وفا نکلے سمجھنے سلسلا نکلے,0
89,عمران بھائی اپ لطیفوں لوگ فی زور ہنستے شوز ٹکٹ پیسے مل مانگنے شرمندگی,2
90,تین چیزیں محبت بڑھانے ذریعہ ھیں سلام دوسروں مجلس جگہ خالی مخاطب بھترین نام پکارنا حضرت عمر,2
91,وقت تقاضا وسائل منصفانہ تقسیم انتظامی بنیادوں صوبے بنائے مالی وسیاسی اختیارات دئے وفاق مشترکہ وحدت بنے,2
92,لاہور اگلے جلسے واپس آجائیں,2
93,جناب اسپیکر آج نون لیگ منافق لیگ نام نون لیگ سچ بولنا,0
94,مک نام تیرا سیاست فسانے تیرا رونا بنتا زمانے,0
95,بھنگ نشہ اترتا,0
96,کشکول توڑنے دعوی پاکستان قرضوں ڈبو گیاغیر ملکی قرضے ارب ڈالر تجاوز پاکستانی زائد روپے مقروض قرضے کھرب پہنچ,0
97,آسان حدف بچوں میچ ہا ہا ہا ہا ہا,2
98,استیعفی مانگنے چندہ مانگنے آگئے,0
99,مریم نواز بحیثیت چیئرپرسن یوتھ لون اسکیم تقرری وفاقی حکومت جواب طلب ہائی کورٹ,0
100,دس سائیکو اج خان چندہ گن,0
101,انقلاب لغت مایوسی یقینی ڈاکٹر طاہر القادری انقلاب,2
102,ربنا وتقبل دعاءاے رب دعا قبول فرما آمین رب العالمین,2
103,متروک مسترد کاسہ لیسوں مارچ حمایت تاریخی جرم ہوگا متروکمستردکاسہلیسوں کیکسیبھیمارچک,2
104,پی ایندھن ترسیل بحال مشکل ہوگیا پی ایس کراچیپی ایس پا,0
105,لاہور ہسپتال سیالکوٹ ہارون آباد چھوٹے یونٹس بنا,2
106,ہتھیاروں پابندی لگائی Pدوستوں ساتھ ضرور شئیر شکریہ,2
107,عمران خاں زنا ناجائز بچوں پرائیویٹ معاملہ کھتا ھے شخص پیچھے قوم چلنا چاھیے,0
108,لوٹ امیدیں ٹوٹ پائی بند پائے بہی در کہنا ملک عدنان احمد,0
109,غذائی قلت شکار مزید بچے سول اسپتال مٹھی دم توڑ تھر پارکرتھر پارکر غذائی قلت شکار م,0
110,سٹی ٹریفک پولیس رواں ماہ دوران مجموعی طورپردوسوبارہ مقدمات درج کرائے,0
111,مادر جمہوریت بیگم نصرت بھٹو ہبحاایران بیٹی نصرت بھٹو پاکستان ینب ںامانہوں سقوﻁ ڈھاک بکھرے,2
112,مولانا فضل الرحمن ملاقات کیلئے گورنر پنجاب وفاقی وزراء مشیروں مذہبی رہنماؤں تانتا بندھارہا,2
113,انشا جی اٹھو کوچ شہر جی لگانا ہاہاہا قادری صاحب شہر اقتدار احسان,2
114,لوگوں دھرنے چندہ مانگنے کنال بنی گالہ گھر پیج دھرنے خرچے پورے,2
115,اردو لغت میے نیا لفظ,2
116,دبئی چوتھے دن کھیل ختم آسٹریلیا رنز کھلاڑی آئوٹ,2
117,شامی صاحب ایڈیٹر تجزیہ نگار رپورٹر اینٹ اٹھاتا کرپشن سکینڈل نکلتے جذباتی رؤف کلاسرا,0
118,قادری کنٹینر ظہیر الااسلام انکی ریٹائرمنٹ پرمسرت موقع بطور سویئنیر پیش جانا چاھیے,2
119,اسلام آباد مولانا فضل الرحمان حملے خلاف کل ملک بھر یوم مذمت منایا علامہ محمد احمد لدھیانوی,0
120,حنیف محمد پوتے شہزر محمد پاکستان کرکٹ پی سنچری بنا ریکارڈ بک نام منفرد تعارف طو درج کرا,2
121,ملک بدنام میی لفافہ صحافت باقی کسر پوری کردی,0
122,ایدھی سنٹر ڈکیتی مرکزی ملزم سابقہ ملازم2 گرفتار کراچی شہر قائد ایدھی ٹرسٹ ہیڈ آفس ڈکیتی,0
123,عہد لٹ ایدھی چندہاس دور حاکم کوئ گنجا,0
124,کراچی سندھ ہائیکورٹ بحریہ ٹاؤن کلفٹن فلائی اوور خلاف حکم امتناع ختم بحریہ ٹاؤن تعم,2
125,اہل اسلام نیا اسلامی سال مبارک اللہ پاک سال لیئے رحمتوں برکتوں باعث بنائے حال,2
126,داغی کپتان قوم ساتھ جذبے کھڑاھے,2
127,ریالٹی انقلابی گو نواز گو جلسوں کامیابی قرار کام دھرنوں بغیر سکتے,2
128,پاکستان ٹیم احمد شہزاد محمد حفیظ اظہر علی یونس خان مصباح الحقاسد شفیق سرفراز احمد ذوالفقار بابر عمران خان یاسر شاہ راحت علی شامل,1
129,بالآخر مصروفیت پیش نظریہ تہہ یاد,2
130,پھلا ٹیسٹ پاکستان اسڑیلیا خلاف ٹاس جیت کربیٹنگ کافیصلہ خضربلوچ,2
131,کٹڑ مسلمان بن بھائی,2
132,خواجہ عمران نذیر مریضوں علاج معالجے سہولتوں متعلق دریافت,2
133,بیچتے دوائے دل دکان بڑھا شاہراہ دستور عوامی تحریک کارکنوں واپسی ڈی صفائی مہم شروع کردی,2
134,لاہوریوں اجتماع عام دل دروزے کھول ڈونرز کانفرنس ڈیڑھ کروڑ زائد رقم جمع کروا,2
135,عیش کروکم پڑجائے بکرے سر,2
136,پارٹی شروع,2
137,سائن آوٹ اچھی کتاب پڑھوآپ آوٹنگ شائد ٹویٹر باھر نکلا,2
138,عہد لٹ فقیروں کمائی دور سلطاں ئی بھول ئ,0
139,عوامی تحریک رہنماء کارکنوں آبائی علاقوں بلدیاتی انتخابات تیاری ہدایت,2
140,کڑوڑ ستر لاکھ معذور افراد معاشرے بلکل دھتکارا افسوس بات,0
141,عرصے انقلاب نام ناٹک خوف پیش نظر رچایا عوام کہیں حقیقی انقلاب کھڑے,0
142,حضرت عمر شان زاہدانہ,2
143,استعفی پارلیمنٹ باہر قادری ہمیں شرپسند عناصر,0
144,خاطر ھم چھوڑ,0
145,فقیر غلطیوں احتساب دوسروں اچھائیوں نظر کھے دوسروں گالیاں خود فرشتہ سمجھے,2
146,عوامی تحریک سربراہ ڈاکٹر طاہر القادری واپس کینیڈا فیصلہ,2
147,نواز شریف بھارت اسرائیل خوش کوشش حکومت ناک نیچے اسرائیلی اسٹال,2
148,وہچلاجائے آجائیں دھرنے کیلئے تبدیلی حاصل بزنجو,0
149,سوشل میڈیا پہ ھے احمدیوں پرنٹ الیکٹرونک میڈیا پہ آواز اٹھائو بات,2
150,فقیری اچھی پروہ جوآپ کولوگوں نیاز کردے فقیری لوگوں نیاز محتاج ہاتھ پھیلاتے پھریں,0
151,حصے پاکستان ساتھ پاکستان بنایا پہر خواجہ اظہار ایم کیو ایم,2
152,گوجرہ قتل ڈکیتی گرفتار ملزمان نشاندہی اسلحہ برآمدپولیس قتل ڈکیتی گرفتار ملزمان,0
153,گو نواز گوگو قادری گوگو شہباز گوگو ذرداری گوگو بلاول گوگو,0
154,ایم کیو ایم ملک گیر یوم سیاہ,0
155,لگتا ھے مونس الہی قادری صاحب خصوصی دعا نواز ھے,2
156,لاہور چھاپہ مار ٹیم موقع مردار گوشت ھی برآمد کرلیا عائشہ ممتاز,0
157,خدا کینڈی کرش ساگا گیم کھیلنے لوگ انوائیٹ جان چھڑوائے خدا,2
158,ساحر لدھانیوی عصمت چغتائی راجندر سنگھ بیدی علی سردار جعفری دیگر ترقی پسند ادیب ساحل سمندر اکٹھے,2
159,کیاعمران خان ٹوئٹر فیس بک پہ وزیر اعظم بن,0
160,تھرپارکر دنوں بچے غذائی قلت جاں بحق سندھ حکومت غافل,0
161,بھائی کہیں چاہ ختم,0
162,لاہور میٹروبس ارب خرچ,2
163,تحریک انصاف عوامی تحریک کارکنوں کہتا پیچھے ہٹے چھوڑدینا,0
164,عوامی ٹیکسوں حاصل پیسہ سیاسی مقاصد استعمال جاسکتا لاہور ہائیکورٹ,2
165,دولت واقعی آزمائش ھے اساتذہ تحقیق کیلئے ھمارا بجٹ ھزار ھوتا ھے جبکہ ساوں ڈ سسٹم ڈی جے کیلئے ستائیس لاکھ انصاف,0
166,ذندہ بیٹھوں پاکستان خان وطن مٹی ایڑیاں رگڑنے یقین چشمہ نکلے,2
167,آر وائی دیکھ پاپا مرگی کےدورے پڑتے مبشرلقمان دیکھ حمزہکو لقوہ مریمگلو بٹنی,0
168,پاؤں رکھ شاعری اپنیکسی یوں کمائی,2
169,اللہ بھلا حضرت آج حلیے فیصلہ کرنامشکل تھاکہ بدبوکامرکزکچراتھایا صاحب کپڑے,0
170,دوست پاکستان ٹیسٹ میچ بارے بتا ساتھ ٹائم لازم لکھنا,2
171,بریکنگ کراچیملزم سلیم پولیس گرفتارنہیں کرسکیپولیس ذرائع,0
172,طریقہ غلط اوربدعت طلاق پڑتی,0
173,کھجور بلغم بلغمی مزاج لوگ دن پانچ کھجوریں کھائیں بلغم ختم ہوجاتی,2
174,دنیا گول چندے چندے سفرچندے انقلاب,2
175,اللہ وے ماہی تیرا پیار دل اوداسی نی جاندی,2
176,محرم الحرام چاند نظر یوم عاشورہ چار نومبر ہوگا,2
177,ایم کیو ایم منانے کوشش کیرحمان ملک بار خود ذلیل واپس جاویں طاھر کینیڈوی ذلیل رسوا,2
178,افسوس صد افسوس ماہ ایان چل بسا,0
179,خاتو ن جج کمرہ عدالت کرکٹ سیکھنی پڑگئی,2
180,سلیکٹرز یونس خان جانب سینچری,2
181,ظلم سدھو سانوو,0
182,یوز ھوں,2
183,ہ نئی احتیاط دیکھی آئینے حجاب ہوایک دن عدم پی کیاروز شغل شراب ہوعبدالحمید عدم,0
184,باپ شوبازشریف بول پنجاب بچالے بجلی توجہ ماما بن خیبر پختونخواہ کاجعلی معزز بہڑوے سالے,0
185,اسلام آباد محرم الحرام چاند نظر نیا اسلامی سال مبارک برکت آسانی باعث بنے مین,2
186,دانستہ چھوڑ جاؤں میدان جیت,2
187,افغانستان آخری امریکی برطانوی دستوں آپریشن ختم فیصلہ,2
188,مریم نوازکی یوتھ لون اسکیم چیرپرسن تعیناتی کےخلاف درخواست ہائیکورٹ سماعت ادارےکی تشکیلچیرپرسن تقرری کےطریقہ کاراوردیگرکار,0
189,عمر مرتبے تذکرہ کرسکتا ہونٹوں نکلے الفاظ خدا قرآن بنا اتار سیدنا عمر فاروق رضی اللہ عنہ,2
190,فیصد بل انھوں بجلی استعمال خواجہ آصف,0
191,اج لوگو طاہر القادری فیصلہ سمج نہی ایا کل پہر لوگو کہنا طاہر القادری ڻہیک کہتے تہے,2
192,کراچی این ای ڈی یونیورسٹی ایڈمیشن کیلئے انٹری ٹیسٹ اعلان,2
193,تین گھونٹ چائے بس گرم میٹھا پانی,0
194,جزاک اللہ انتظار سویا,2
195,ڈانس ڈائریکٹر پپو سمراٹ کام مظاہرہ,2
196,مسلمانوں نیا اسلامی سال مبارک شہادت امیر المومنین سیدنا فاروق اعظم علیہ السلام سیدنا حسین علیہ السلام ہدیہ تعزیت,2
197,رسول ﷲ ﷺ فرمایا خبردار بالارادہ نماز چھوڑنا دیدہ دانستہ عمدا نماز چھوڑدی اللہ ذمہ بری ابن ماج,2
198,تحریک انصاف استعفوں موقف قائم نظام تبدیلی چاہتے شیریں مزاری,2
199,مذہب چادر بدنما داغ بدنما داغوں دیکھنے عقیدت عینک اتارنا پڑتا اکثر سمجھتے,0
200,چندے انقلاب بہتر مستحق امداد اسکی زندگی خوشحال,2
201,لگتا آسٹریلیا ٹیم برا پرفارم حالت جوں توں,0
202,حضرت آسیہ رضی اللہ تعالی عنہا ایمان شوہر فرعون چھپایا فرعون پتہ,2
203,ڈاکٹر طارق سلیم امیر ضلع گجرات منتخب,2
204,جنرل ضیاع ال یک دور دیکھا جان سکتے لوگ کرب گزرے پچھلی ٹویٹس ملاحظہ,0
205,لاہور جانوروں گوشت قبضہ,0
206,چندے انقلاب انقلاب بہاگنا تہا جہاز کنٹینر جہاز ا,0
207,مذہبی امور وزیر سردار محمد یوسف رکن قومی اسمبلی محمد صفدر اسلام آباد وزیر اعظم محمد نواز شریف ملاقات,2
208,لاہور عوام مینڈیٹ دھرنوں فرق پڑتا صوبائی وزیر قانون,2
209,پاکستان قومی کرکٹ ٹیم سابق کپتان شعیب ملک باوٴلنگ ایکشن مشکوک قرار روزنامہ اردو پوائنٹ,0
210,بھارتی مقبوضہ کشمیر بین الاقوامی مبصر تعیناتی خطے پائیدار امن کیلئے ناگزیر,2
211,نئ گیند,2
212,اسکاٹ لینڈ لوگوں ریفرنڈم حق کشمیر یوں کوکیوں مختلف ممالک بیٹھے سفارت کاران معاملات کام اویس لغاری,2
213,آسٹریلوی ماہرین طبی میدان اہم کارنامہ مردہ دل کامیاب پیوند کاری,2
214,رانا مشہود رانا مشکوک,0
215,سبزے کہیں جگہ ملی بن روئے آب کائی غالب,2
216,پاکستان تعلیم کہاں,0
217,پیپلز پارٹی ھی نعرہ کرحکومت رھی اورمکرتی رھی کیاپوچھاکبھی کدھرھے روٹی کپڑا اورمکان,0
218,بجلی قیمتوں 52پیسے فی یونٹ اضافے امکان,0
219,ٹویٹر معاشرے تباہی برائیوں جڑ سعودی مفتی اعظم,0
220,آخری فتح خاموشی آواز فنا,2
221,بلدیاتی الیکشن کرانے تیار الیکشن کمیشن اجازت via,2
222,سیدنا عمر فاروق رضی اللہ عنہ محبت وجہ دیکھا آدھی دنیا حکمران سر نیچے اینٹ درخت سائے تلے سویاہے,2
223,کہاں بھیا کینیڈا شوکت خانم ہسپتال پیدا چندے انقلاب,0
224,اووووووئے پاکستانیوں دس بیس روپے چندہ دھرنے سکتے چندہ سکتے ناں چندے انقلاب,2
225,لوگوں زمانہ آدمی پرواہ ہوگی حلال حرامصحیح بخاری,0
226,فرانس ڈرونز ریس لگاتے نظر پیرسکار ریسنگ بائیک ریسنگ ماضی قصہ ہوگئی,2
227,اعصاب شکن میچ کپتان غلطیاں عمران خان,0
228,® مریم نواز بحیثیت چیئرپرسن یوتھ لون اسکیم تقرری وفاقی حکومت جواب طلب ہائی کورٹ وفاقی حکومت وزیر,0
229,بس دل چاہ ڈائلاگ مارنے,2
230,لوگوں شکریہ کہنا جوپٹوریوں زبان جواب اورکا دفاع وغیرہ,2
231,خوبصورتی انتہاء,2
232,عمران بچوں صحیح تعداد بتا ڈوب ٹیسٹ نشئی نھیں ھے چیک کروا لوگ حمایت کردیں,2
233,بھوک مر خودکشی غریب مرتے انقلاب فکر حکومت,0
234,اچھا اچھا صدر گھوم پھپھا دکان لائف بکس نام کراچی کمپنی فاران بکس نام,2
235,تماشے تمنا ھے,2
236,عوامی تحریک جمعہ ایبٹ آباد جلسہ انقلابیوں اگلا پڑاؤ ایبٹ آباد ہوگا,2
237,بازؤوں محروم امریکی نو جوان ماہر گٹارسٹ بن نیویارک امریکہ تعلق,2
238,نورا رشتے دار سوار,0
239,اگرچہ انسان مقدر رزق ملتا رزق تلاش سستی کرنی چاہیے,2
240,اورنگی ٹاؤن بچوں پولیو وائرس تصدیق,0
241,ملک مذہب نام فرقہ واریت آگ بھڑکائی ملک کھوکھلا طارق جمیل,0
242,اسلام آباد دھرنا ختم پارٹی کارکنان زہر اگل سربراہ دن دن رات,0
243,اگرزمینی حقائق بتلاتے خنریزسیاسی سرگرمی,0
244,لاہور انٹری ٹیسٹ ختم معاملہ زیر غور صوبائی وزیر رانا مشہود,2
245,کراچی ایدھی سنٹر ڈاکے مرکزی ملزم گرفتار عیدھی صاحب سالہ دلہن کڑوڑوں روپے اڑی,2
246,کرکٹ بیکار ٹیم پاکستان قیمتی زرمبادلہ خرچ جیت سکتے دفع,0
247,لگ یو پاکستان میچ آسانی جیت,2
