,Tweet,Class
248,دیکھو نعرے مت مارو نشئی عمران ذریعہ معاش بتادواگر پتہ ھے لاکھ درجے خود دار ھوں کھاتا ھوں,2
249,قادری صاحب سمجھ تے تسی,2
250,حضرت اسما بنت یزید روایت رسول اللہ صلی اللہ علیہ وسلم ارشاد فرمایاکہقیامت دن لوگ زندہ وسیع ہموار,2
251,کمیشن نےنندی پوربجلی منصوبےمیں تاخیرکاذمےداروزارت قانون کوقرار تاخیرکے باعث وزارت خزانہ ارب روپے نقصان وزارت پانی بجلی,0
252,صلی اللہ علیہ وسلم فرمایا اگرجھک عاجزی اختیار عزت گھٹ جاے قیامت دن لینا صحیح مسلم حدیث,2
253,نواز شریف استعفے بغیر کنٹینر نکلوں عمران خان جھوٹے روز نکلتا بنی گالا پ,0
254,پیپلز پارٹی ہمشہ سندھ کارڈ استعمال الطاف حسین,2
255,دبئی ٹیسٹ یونس خان نام ٹیسٹ اننگز سنچری لگاکر پاکستان تاریخ سنچریاں بنانے کھلاڑی بن,2
256,یہقاں فالوور جان اٹک لیڈر سوال جرات,0
257,منڈی بہاوالدین شیخ علی پور قریب نامعلوم نوجوان نعش برآمد,0
258,عوامی تحریک دھرنا ختم اسلام آباد عید سماں,2
259,زبردست دن تہا آج پاکستان کرکٹ ٹیم احمد,2
260,قرآن سنت روشنی لفظ مہاجر حرمتی فتوی جاری کیاجائے احتجاجی پروگرام انعقاد بھوک ہڑتال,0
261,دبئی پہلا ٹیسٹ پاکستان آسٹریلیا کیخلاف ٹاس جیت بیٹنگ فیصلہ,2
262,بریکنگ لاہور مردہ جانوروں گوشت فراہم کاانکشاف,0
263,پاکستان آسٹریلیا ٹیسٹ سیریز قبل بین الاقوامی کرکٹ کونسل ٹیسٹ رینکنگ جاری کردی,2
264,حر لشکر یزید ھوں حسین کربلا پہنچا,2
265,جناب اسپیکرلاہور میٹرو بس منصوبہ ارب کروڑ لاکھ روپے سالانہ خسارے چل دستاویز,0
266,کپتان نہی بولا ہمیں PAT دوستو نہی بولناہمیں راستے چلنا منزل جانب بڑھنا انشااللہ نیا پاکستان,2
267,بالکل بھائی سیاسی دھرنا مذہبی اجتعمات پہ پابندی لگنی چاہییے,0
268,غازی تربیلہ گورنمنٹ پرائمری اسکول الدو دوران اسمبلی بجلی تارگرگئی11طلبہ جھلس کرزخمیاسپتال منتقلپولیس,0
269,حقیقت ھے لوگ سیاسی قائدین پہ اندھا اعتماد,2
270,دوست بہتر اکیلا,2
271,عوام مصروف رکھو بیوقوف بناتے ملک لوٹتے رہوصوبے ڈرامہ رچا تے کراچی عوام بیوقوف بنا تے,0
272,چور شور مچاتا ھے کورٹس زندہ آباد قادری عمران مبشر سازشی مردہ آباد,2
273,بات کہنی وعدہ نبھانا ہواسے آواز واپس بلانا ہوہمیشہ دیر مدد,0
274,تحریک انصاف استعفوں تصدیق کیلئے اسپیکر پیش فیصلہ کرلیا سچ ٹی وی,2
275,محرم کاچاند نظر آگیا کراچی ڈی جی رینجرز محرم دوران اسلحہ چلنے کیخلاف سخت کارروائی کیہدایت,2
276,﷽ قل ھواللہ احد اللہ الصمد لم یلد ولم یولد ولم یکن لہ کفوا احد,2
277,سابق چیف جسٹس پاکستان شدید خطرات لاحق via,0
278,بات ماننے تعامل مقصد کامیاب نظام کاری ضرب ضرور,0
279,چابی بابا ڈیزل خان گیم ضمنی انتخابات تحریک الزام خالی سیٹوں الیکشن لڑے تحریک انصاف مجبورا سپورٹ,2
280,نو منتخب امیر جماعت اسلامی ضلع اٹک اقبال خان حلف,2
281,نیا لڑکا شاہ اخیر ٹیلنٹ تعریفیں,2
282,منڈی بہاؤالدین انڈر ٹری پرائمری سکولاکیسویں صدی جہاں پوری دنیامیں سائنس ٹیکنالوجی کاراج,2
283,غذائیں رکھیں سدا جوان,2
284,جوانوں حاضری لگانے وقت چکا آفواج پاکستان زندہ باد,2
285,دامن حیات رہافردا سرد آگ حالات جل کلیات چٹک شاخوں پہ آبلے غنچوں مہکتوں ہاتھ جل,0
286,الھم صلی علی محمد ﷺ,2
287,قادریBVسے بولے ڈاکٹر دانتوں کیڑا بتایا ھے بیوی ڈاکٹر آپکو بماری سہی بتائ جگہ غلط بتادی ہنسنا منع الوداع انقلاب,0
288,نیلے پاسپورٹ حفاظتی چھتری تلے لوگ,2
289,مینار پاکستان تکمیل تحریک پاکستان ایجنڈے کولے ملک بھرمیں تحریک پھیلائیں امیر صوبہ ڈاکٹر وسیم,2
290,نھیں ھوگااسکا نوٹس سپر کورٹ خود لینا چاہیے بھت پھلے کوکین گولی نت نئے مزے مدھوشی,0
291,ذیاد کدھر ھو بھائی دھائی ھے دھائی قادری ھڈی چڈی کینیڈا گاپھر اگلے سال,2
292,کوئٹہدہشتگردی منصوبہ ناکامدھماکا خیز مواد برآمد,2
293,ہن تے سردیاں گیی ین لسی ویسے مک جے,2
294,تحفظات دور بجائے معطل جاوید نسیم,0
295,ملک بھر سردی جھلک دکھلا,0
296,جماعت سندھیوں جذبات کھیل مہاجر قابض جبکہ دوسری جماعت مہاجروں جذبات سندھی قابض,0
297,دولت زبان ذاکر دل شاکر زن فرمانبردار ھے امام غزالیجس بیوی گھر نوکر سواری ھو بادشاہ ھے مجددالف ثانی,2
298,زیر نظر تصویر نوجون قیادت پیچھے جماعت پوری قیادت صحیح اسلامی جمہوریت کہتے تقوی,2
299,مشیر عہدے کیلئے لطیف بٹ جگہ خالد محمود,2
300,نومنتخب ضلعی ذمہ داران جماعت اسلامی راولپنڈی جنرل سیکرٹری راجہ جواد احمد نائب امراء سجاد احمد عباسی ابو عمیر,2
301,لوگو کتاب خزانہ علم چشمے بن روزانہ اللہ روزی مانگو روزی نقصان عمر,2
302,ساقی محفل ھم جام اچھالیں گر کچی ملی کام ڈیزل چندے انقلاب,2
303,مٹھائی امپائر انگلی کھڑی کھائیں جنریٹر ڈیزل منگوا لوں,2
304,مولانا ڈیزل ڈیزل خان شرمناک سفرڈیزل ڈیزل,0
305,گھپلا,0
306,اسلام آباد پشاور محرم الحرام چاند نظر اگیا اھل اسلام نیا سال مبارک ھو,2
307,محرم الحرام چاند نظر آگیا نیا ھجری سال مبارک,2
308,اہلی رکنیت معطلی باوجود افس قبضہ قبضہ گروپ سیٹوں چھوڑنے تحریک,0
309,تحریک انصاف صدرہاشمی حساس وقت ساتھ چھوڑ خان کوفرق پڑا قادری پڑے تحریک انصاف ممبر,0
310,تہمتیں لگتی روشنی خواہش گھر باہر سزا ملتی لوگ لوگ خبر جاناں,2
311,دہشت گردی اموات سال زہریلی شراب وجہ دہشت گردی قدرتی آفات گھٹیا شراب غریب مرتا,0
312,کینیڈا پارلیمنٹ فائرنگ ویڈیو جاری,0
313,دبئی ٹیسٹ پاکستان اوپنرز رنز آؤٹ دبئی ٹیسٹ میچ پاکستان ٹاس جیت آسٹریلیا,0
314,حضرت امام حسین صبر شکر توکل رضائے الہی کائنات انسانوں کیلئے علم عرفان مینار,2
315,لاہور وائرس مریضوں علاج تربیت جارہی ڈی جی ہیلتھ,2
316,قیامت نشانیاں,0
317,کھیل کھیلا ہجر جھیلا گزر جاناں سوال موسم,2
318,سال انصاف مل گیادہلی عدالت اجتماعی ریپ کیس پانچ قصورواروں عمر قید سزا سنائی,2
319,جی دوستوآج کاسوال کیمرہ ایجاد جواب انعام جیتیں,2
320,پی ڈائریکٹرز تقرر اجازت کام کررہے,2
321,بنوں دوستانہ میچ ڈی پیز شاہد آفریدی الیون جیت,2
322,طاہر القادری پاکستان تین مہینے تھاویزے مدت ختم دہرنا ختم اورقادری ملک روانہ,0
323,لوگ جنھوں ہندوؤں دیکہا دیکہی کل دیوالی منا ئ یامبارک باددی پوچھنا کہنیکسٹ,2
324,منہ توڑ جواب پاگلوں جنگی جنون معصوم لوگوں قتل عام بس کہانی,0
325,اجے دیوگن فلم ایکشن جیکسن پہلا پوسٹر جاری,2
326,پیار بھرے شرمیلے نین چندے انقلاب,2
327,پرواز جاں حائل سانس ٹوٹے پروں دل بستی رونقیں چند اجڑے گھروں,2
328,پاکچین سرحدوں نگرانی کیلئے بھارت ڈرون طیارے استعمال فیصلہ روزنامہ اردو پوائنٹ,2
329,آروائی اربوں خرچ کرکے اتنی پبلیسٹی حاصل کرسکتاتھاجتنی لوھارراج شاہ لوہا نواز بند کرکے رھے ھیں,0
330,دانشمندی وزیر اعظم استعفے مانگتے مانگتے خود استعفی دیدیں تحریک انصاف اسمبلیوں شک استعفے,0
331,غلط انسان ریٹ پوچھ پتا ریٹ بتادے اصل ریٹ ٹویٹ سرکار پوچھیے,0
332,کہیں فٹ,0
333,پاکستان تحریک انصاف 29اکتوبر استعفوں معاملے بات کیلئے اسپیکر قومی اسمبلی پیش فیصلہ,2
334,بہترین لوگ بہترین نیت رکھتےھیں وجہ سےرب کاموں سنوار ھےاور کام رب سنوار,2
335,دلالوں اصلیت چھپی کل نظام لپیٹنے باتیں آج کھسیانے نظام,0
336,ڈیزل ڈیزل کردی آپے ڈیزل,2
337,کاخسارہ مار,0
338,صحرائے سینا ہنگامی حالت نفاذ مصر حکومت مختلف حملوں فوجیوں ہلاکت,0
339,دن مرنے ساری زندگی جینا پڑتا,0
340,حضرت عمر زمانہ خلافت جامع مساجد تعداد بارہ ہزار پہنچ چکی از نظام الحکومۃ الاسلامیہ جلد دوم,2
341,مریم نواز بحیثیت چیئرپرسن یوتھ لون اسکیم تقرری وفاقی حکومت جواب طلب,0
342,اہل نظر رائے نئے صوبوں تقسیم ممکن,2
343,ثریااب ٹویٹیں مارے گاڈ,0
344,PTI اچھی پالیسی مختلف بہانے کرکے کیس تاخیرمیں ڈالتے عوام معصوم بن کرجھوٹ بولتے ہمیں انصاف مل,2
345,برس بہار بصیرت ڈس فکرو نظر جھومتے باغات جل ساغر کٹے کٹے ستارے بجھے بجھے شائد نصیب دن رات جل,0
346,حکومت ماروی میمن خسرو بختیار وفاقی وزیر بنارہی جبکہ شاہد خان چئیرمین نادرا بنارہی جسے تحریک,2
347,اپ ڈیٹ ٹھیک,2
348,ہاہاہا ہزارہ کھڑا حضرت صاب کھڑے رلانے پلان,0
349,بھارتی الیکشن کمیشن کامقبوضہ کشمیرمیں نام نہاد انتخابات اعلان نئی دہلیبھارتی الیکشن,0
350,ڈآکٹر دانش سوال آر وائی ٹیوٹر اکائونٹ ہیک شخص ٹیوٹ ے,0
351,محبت جوانوں ڈیزل پے ڈالتے کمند علامہ عمران اقبال خان,2
352,زندگی لہو نام زندگی آرزو ے خام زندگی حسرت بھری فریاد زندگی یاد سوزش درد جگر,0
353,مشورہ ھے چندے انقلاب ممکن بنی گالا کنکشن بحال ھوجائے پختون ڈیزل ھی کام چلایے,0
354,کمال داستان سنو چھوڑا چھوڑ,0
355,پاکستانی قوم جاگ ھے ڈیزل قیمتیں بڑھ,0
356,کہنا چاہتے دہشتگردی روکنے کیلئے ضرب عضب آپریشن روکنا,0
357,دن دین فہم پیدا دن سارے مولویوں دوکانیں بند بہاگنا پڑ,0
358,رونا دل مضبوط ہوجاپھر توڑ سکے زویہ,2
359,میٹھی پیا میٹھے,2
360,کاجو ذیابطیس مریضوں انتہائی مفید,2
361,ایم کیو ایم سندھ حکومت آزاد جموں کشمیر حکومت علیحدگی اعلان ڈاکٹر فاروق ستار,0
362,لوگ فرشتوں بنے پھرتے ہتھے چڑھ انساں,2
363,صاف چلی شفاف چلی تحریک انصاف چلی,2
364,لوگوں دھرنے چندہ مانگنے کنال بنی گالہ گھر پیج دھرنے خرچے پورے,2
365,اپ مدعا سمجھے,2
366,نیوز سنگدل شخص بیوی بچے فائرنگ کرکے قتل کردیا پاکستان,0
367,استیعفی مانگنے چندہ مانگنے آگئے,2
368,لاہور شہباز شریف ہزار پرائمری سکولز بند کروادئیے چودھری پرویز الہی,0
369,گنجو فوٹو شوٹ,2
370,کاش مفتی محمود رات صبر قوم اتنے حادثے بچ جاتیکاش ڈیزل پیدا,0
371,ہاتھا پائی اتر لوگ ڈ,0
372,ریاست خلافت اسلام محافظ مسلمانوں امور نگہبان ھوتی ھے فرائض ادائیگی ترک ھے,2
373,کچی شراب پی قائم علی شاہ شہیدھوگئے پٹواریوں اطلاع شاہ جی چیتا از عصر جلایا,0
374,الہی محبوب کل جہاں دل جگر سلام پہنچے نفس نفس درود پہنچے نظر نظر سلام پہنچے صلی اللہ علیہ وسلم,2
375,لمحہ فکریہ,0
376,حضرت علی رضی اللہ عنہ کہتے رسول اللہ صلی اللہ علیہ وسلم فرمایا مہدی اہل بیت,2
377,ڈیزل آنکھیں دھرنا چیخیں,0
378,دوبئی ٹیسٹ دن پاکستان آسٹریلیا خلاف بیٹنگ مشکلات شکار میچ پی ٹی وی سپورٹس براہ راست,0
379,رسم قل جلد آذادی چوک ادا جاے,2
380,اللہ تعالی ہمیں باعلم باعمل بزرگان دین صحبت نصیب فرمائیں اخلاقی تربیت ہوسکے گناہ ارادوں علاج کرسکیں,2
381,شکل دلبروں خو ستمگروں لب سکوت دریا آنکھیں سخنوروں,2
382,جسٹس منصور علی شاہ ریمارک بتایا عوامی ٹیکسوں حاصل رقم سیاسی مقاصد استعمال سکتی,0
383,وادی ہنزہ خواتین کوہ پیمائی اسکول,2
384,انٹرنیشنل اسکواش عامر اطلس ٹائٹل حصول محروم,0
385,سلسلہ وار پڑھنے,2
386,بریکنگ دبئی ٹیسٹ دوسری اننگز یونس خان آسٹریلیا خلاف سنچری مکمل بریکنگ دبئی ٹیسٹ یونس خان,2
387,آسٹریلوی ٹیم پاکستان سکور بھی341 رنز پیچھے,2
388,میاں صاحب بھارت خلاف بات پٹواری ایٹم بم بنایا,0
389,نیوز پاکستان عوامی تحریک سربراہ طاہر القادری بیرون ملک جائینگے,2
390,مسلم لیگ پرچم دفن بندہ ڈائیریکٹ جنت جاے جھوٹا آدمی ہاشمی ہاشمی,0
391,آج مضمون عنوان بھائی اللہ بھائی بنایا لوگوں,2
392,پاکستان جانب انضمام الحق ٹیسٹ کرکٹ سنچریاں,2
393,لبرل بنتے اقلیت اکثریت ھوتے ایران عراق شام عمر عثمان عائشہ نام لٹکا,2
394,پنجاب ضمنی الیکشن حصہ طاہر القادری سچ ٹی وی,2
395,آج دن عاشق نبی لازم اعلان اےبھارت کشمیر کل آج,2
396,چندے انقلاب سیاست چھولے کھانے,2
397,امریکاویسٹ پام بیچ علاقے بارش نظام زندگی متاثر,0
398,جھپٹنا پلٹنا پلٹ جھپٹنا لہو گرم ھے اک بہانہ ڈاکٹر طاھر القادری اسلام آباد دھرنے پورے ملک,0
399,پنجاب مزید افراد ڈینگی وائرس شکار,0
400,ساے جتنی ھے ملکیت ⁰⁰باقی ھے تجاوزات ھے,2
401,اسپورٹس پاکستان پھرین ٹیسٹ جی بی اننگ تی ڈکلیئر کری آسٹریلیا رنسن ٹارگیٹ ڈئی چھڈیو,2
402,زندگی پشیماں ڈھونڈتی حیلہ مرے مر,0
403,کور کمیٹی اجلاس نومبر دھرنے متعلق بات شیریں مزاری,2
404,کرپشن باوجود ترقی کب چکی,0
405,سید خود مہاجر خورشید شاہ کیسا سید جسے سید ندامت جاگیردار فخر,0
406,لاہور جی پنجاب مشتاق سکھیرا زیر صدارت آر پی کانفرنس,2
407,اسلام علیکم اللہ خوش سلامت آمین صبح جمعہ مبارک,2
408,ثمینہ صاحبہ خوش آمدید ویلکمجی آیاں نوں فالو یو بیک ایز ریٹرن محبت,2
409,مزا درد محبت درد دوا مت,0
410,ئی بات ٹھیک ہوجائیں,2
411,بھائی زرداری صاحب سیاست بجائے کرپشن بچا,0
412,عربی سیکھو عقل پختگی مروت زیادتی پیدا ھے سیدنا عمر فاروق,2
413,راولپنڈیاے این ایف نظیر بھٹو انٹر نیشنل ایئر پورٹ اسلام آباد سمیت مختلف شہروں کاروائیاں 6کروڑ روپے,0
414,یار کرپشن ایشو اقربا پروری فنڈز ناجائز استعمال تھانہ پٹواری کلچر چیلنجز,0
415,بےشک اللہ لوگوں ظلم نہےں لوگ ہیاپنی جانوں ظلم ہےں سورہ یونس,2
416,بجلی کٹ لہذا چندہ براے ڈیزل چندہ,0
417,عمران خان صاحب 30اور اگست درمیانی شب یقینا یاد انکے رفقاءاور کارکنان جلسے چکے,2
418,آج نئی پیپلز پارٹی خبریں گردش,2
419,طاہر القادری محرم الحرام یورپ شمالی امریکا دورہ ذرائع قادری پردیسی لگاہے,2
420,لیاری گینگ وار اہم کردار شکیل بادشاہ قریبی ساتھی الطاف بابا گرفتارکراچی پولیس لیاری گینگ وارکے اہم,0
421,حکومت سیاسی قائدین کوتحفظ ناکام ہوچکی شیریں مزاری,0
422,اک پڑی فکر,0
423,لاہور سروسز ہسپتال یو قائم کردیا ڈی جی ہیلتھ,2
424,مولانافضل الرحمان عورتوں متعلق بات انتہائی شرمناک شیریں مزاری,0
425,کل سنا ھے جیو نیوز پہ عمران خان پرانا انٹرویو چلایا جیو معافی مانگنے ھے ویسے فائدہ جیوکا ھے,2
426,اصل نیازی مالداری دل نیازی مالداری ھے سیدنا عمر فاروق,2
427,شخص غلط فہمی,2
428,صحبت اثر صحبت ملنا بہی نصیب بات,2
429,بریکنگ سلیم گرفتاری کیلئے لیاری اورکورنگی چھاپے مارے پولیس ذرائع,0
430,فیصلہ عوام دا پرویز راٹھور حرام دا سیاسی لطیفے,0
431,چاند تارے خوشبو اچھے لگتے,2
432,جی ڈی ایل شیئرز سکوک غیر ملکی ادائیگیوں بہتری امید اسلام آبادآئن,2
433,حضرت امام حسین رضی اللہ عنہ,2
434,دیکوں دیکوں ایا شیر شکاری ایا,0
435,مریم نواز یوتھ لون اسکیم چیرپرسن تعیناتی خلاف درخواست ہائیکورٹ سماعت,0
436,السلام علیکم باغ آزاد کشمیر ساتھی باکس جزاک اللہ,2
437,قادری اعلان دھرنے آخری مناظر چند لمحات تصاویر,2
438,کپتان مصباح الحق کہنا کارکردگی مطمئن کینگروز خلاف کامیابی نئے کھلاڑیوں اعتماد ہوگا,2
439,چندہ جانور بالوزن سیاسی جانور ہوتاہے فرمودات فریڈرک عمران اینجلز خان,0
440,بوٹسوانہاین خامہ دوسری مرتبہ ملک جمہوری صدر منتخب بوٹسوانہ ڈیموکریٹک پارٹی عام انتخابات نشستیں حاصل کیں,2
441,دیکھیں بات بالکل درست ھے سڑکیں بلاک طور درست انکا نام ٹویٹر حقیقی زندگی احترام لینا چاھئے,0
442,دقیق باریک گتھی اپ سلجھائیں,2
443,تحریک انصاف دوست دل کھول برا بھلا کہیں گالیاں وقت ثابت فیصلہ,0
444,دل ترستا مراسم ترک تعلق بہانے مانگے,0
445,پیار بار ہوگا بار بار ہوگا,2
446,پیمرا ایکشن پرزور مذمت آج سانپ سونگھ کراچی اکثر علاقوں نیوز چینلز نشریات بند,0
447,آبرو کوچے نکلے,0
448,جلسہ ضلع گجرات تاریخ ناقابل فراموش,0
449,یورپ کینیڈا امریکہ عوام پیسے زیور سخت حفاظت ورنہ چندے انقلاب,0
450,کشمیر صورتحال اقوام متحدہ خاموش سکابھارت سخت جواب,0
451,تاریخ سبق سیکھو,2
452,دھرنے خاتمے منفی بیان بازی وزیر اعظم ہدایتاسلام آباد وزیر اعظم میاں محمد نواز شریف,0
453,گھنٹے,1
454,لوگوں دل پیندے برتنوں مانند ھوتے ھیں خواہ کتنی ھی محبتخلوص توجہ خالی,0
455,شاہد آفریدی ڈی پیزالیون نمائشی میچ ایس پی آرکو ہرا,0
456,سندھ قوم شناخت برقرار الطاف حسین مہاجر نواز شریف پنچابی پی پی سندھی ووٹ بٹورا نتیجہ,2
457,گو بلو رانی گو سن بلاول عوام کتے جتنا عزت بہی,0
458,بن بلائے آجاتا سوال کرتایہ تیرا خیال آخر خیال,0
459,تحریک انصاف استعفوں موقف قائم نظام تبدیلی چاہتے شیریں مزاری,2
460,کلاسک ویڈیو گیم شکل بنایا منفرد کیک نیویارک کیک خواہ سالگرہ ہویا,2
461,قادری صاحب ڈیل ہرگز,0
462,انسان سخت جان بات تصور برداشت حقیقت بن ٹوٹ پڑتی چﭗ چاپ برداشت,0
463,ایبولا وائرس ہلاکتوں تعداد ہزار ہوگئی ڈبلیو ایچ,0
464,زنجیر مری وحشت برابراک ٹھہرنے,0
465,دس روپے کالے بکرے سری مانگیں چندے انقلاب,0
466,کاش ڈیزل مولانا بنایا دھرنے قادری جگہ اٹھایا,2
467,بطح منہ سوہنا سمجھ,2
468,مارڈالے گایہ احساس اجنبی ہوگیا لہجہ اپنوں,0
469,پاکستان مسلم لیگ ن انتخابی ترانہ,2
470,ڈھائی ارب روپے سگریٹ پھونک مفت پیئے,0
471,میاں صاحب پیغام بار ضرور دیکھیں شئیر کنجوسی ویڈیو دیکھیں,0
472,طلب پہ عہد وفا آبروئے وفا گئسر عام مدعی ثواب صدق صفا,0
473,یکم محرم الحرام یوم فاروق اعظم رضی اللہ عنہ ملک بھر مذہبی عقیدت احترام منایا جاے سیدنا عمر فاروق,2
474,سیالکوٹ پاکستانی فورسز بھارتی فائرنگ منہ توڑجواب دیاآئی ایس پی آر,0
475,لاہور طاہر القادری ماڈل ٹاون من واقع رہائش گاہ اطراف سیکورٹی الرٹ,0
476,دہشتگردی جاں بحق گریڈ ملازمین اہلخانہ لاکھ روپے امداد ملے,0
477,آدمی بیٹے سمجھانے شیشے کھڑا پوچھا بیٹا شیشے نظر,1
478,یونین آف جرنلسٹس لاعلمی بہترین مثال,0
479,اتفاق پرچہ حل کیلئے جارہاہوں بجے پیپر ہء,2
480,بالی وڈ اداکارہ ریکھا سپر نانی بن گئیں,2
481,زاہد شوخی رندانہ دیکھنارحمت باتوں باتوں بہلا پی گیاسر مستی ازل یاد دنیائے اعتبار ٹھکرا پی,2
482,RT زرداری زبان چندے لفظ منہ نکالا ٹوٹ پڑے اسکی اپیل لوگوں سمجھاشاید چندے دیوار چندے,0
483,دھرنا ختم عوامی تحریک کارکنان پھوٹ پھوٹ روپڑے,0
484,تبدیلی تبدیلی آگئی,2
485,دبئی ٹیسٹ کھانے وقفے پاکستان وکٹ رنزاظہر علی یونس خان رنز ناٹ آؤٹ,2
486,عمران خان کنٹینرسے نکل کراس چھت پہنچے اورکئی لمحے طاہر القادری کنٹینرکی لوگوں کوسامان باندھتا دیکھتے,2
487,اسلام آباد بیٹھے عوام شعور بیدار ڈاکٹر طاہر القادری,2
488,تبدیلی ڈول بجانے عملی کام ھے,2
489,کہانی الجھی الجھائی عقدہ کھلے گاجب تماشا ختم,0
490,گریڈ ملازمین انتقال خاندان لاکھ روپے,0
491,خان صاحب شرمناک اندازگفتگو بارے کیاکہیں شیریں صاحبہ,0
492,دماغ دلیہ,0
493,استعفی باغی جتنی ہمت,0
494,بتاو کیسا لگتا ویران رستے انجان رستے ساتھ مل جاناخوشی پھول کھل جانابتاو کیسا,0
495,چھاپہ مار ٹیم ٹاپ ٹریٹمنٹ نام قائم فیکٹری سیل کردیا,0
496,انل نریندر بچوں جنسی استحصال بڑھتے واقعات باعث تشویش مس,0
